1,2
61719,105567
142352,215796
211406,331010
294130,546390
244458,388368
18145,30307
47576,99888
53559,92904
563071,941995
938334,1424662
49218,72180
41828,64708
112644,191646
178848,275697
236600,430792
433262,855848
286892,522759
249330,440662
53559,92904
89404,151512
119100,181432
89628,146660
1219985,2156850
203617,315608
95152,199776
11247,17900
105702,164178
379967,643926
217296,345216
22351,37878
124971,216776
167312,258832
82974,135086
1732985,2982584
231756,419716
23788,49944
192234,301294
88408,136164
238370,348964
81730,141714
17853,30968
101194,157590
58749,90858
30512,45124
165296,286789
336758,573942
227901,396714
45872,85800
152916,302064
53559,92904
498232,755286
11177,20167
44708,80668
22351,37878
135810,215760
47576,99888
264717,491751
270368,416656
17853,30968
234278,335048
328353,547538
112644,191646
112286,169224
50972,100688
49218,72180
180476,311868
177826,304104
331859,525272
527464,900541
213528,323694
21670,31724
33454,59580
116032,204197
56235,89500
146190,246564
55885,100835
89628,146660
78899,129940
23788,49944
214092,449496
362028,573024
104676,182496
118480,204896
284763,426650
129466,209035
16092,27378
16092,27378
144093,269139
250020,372732
49546,86958
425732,740436
53559,92904
343330,600675
182298,276440
365523,570980
388560,658767
22351,37878
70996,126636
16801,26713
82292,140756
324897,531069
162972,258912
120092,173987
378038,686248
306684,556823
158244,249800
179802,289476
17853,30968
33531,60501
45872,85800
336105,549975
138661,219514
349464,619268
679831,1113740
387075,589654
105587,183462
17853,30968
135337,211769
183488,343200
244458,388368
113255,200174
192084,294913
24365,41094
886140,1271039
47576,99888
22351,37878
135850,235538
44702,75756
270453,451761
62864,113278
173248,237016
243650,410940
223510,378780
29620,51224
11306,19196
207438,321684
607920,914520
35706,61936
1282819,2443194
108746,189166
15256,22562
36572,60313
16092,27378
11177,20167
74316,108243
101944,201376
119100,181432
148875,226790
194400,284172
45768,67686
48730,82188
49728,87513
329198,590192
441195,819585
123717,196900
50086,90302
16898,26041
179256,293320
49728,87513
35706,61936
39166,60572
